Date,annee,Semaine,Zone_sante,total_a_suivre,suivis,non_suivis,nouveau_contacts,cas_suspects,contacts_sortis,Données manquantes,jamais_vus,non_vus_48h,pdv,reticences,deplaces,reste_a_suivre
43383,2018,40,Bangui,864,210.0,2,,,,,,,,,,
43375,2018,44,Carnot,175,4236.0,0,,,,,,,,,,
43415,2018,50,Bangui,9,149.0,26,,2.0,,,,,,,,
43395,2018,44,Mambéré-Kadéï,28,200.0,1,0.0,,,,,,,,,
43424,2018,38,Ouham-Pendé,1375,207.0,3,,,0.0,,,,,,,
43391,2018,50,Zémio,74,124.0,7,36.0,,,,,,,,,
30/11/2018,2018,50,Kémo,181,99.0,19,,,,,,,,,,
43370,2018,38,Carnot,168,1.0,0,,,,,,,,,,
43400,2018,37,Mbomou,4,959.0,10,,0.0,,,,,,,,
43349,2018,34,Gamboula,2159,405.0,2,,,,,,,,,,
43420,2018,39,Baboua,46,158.0,186,,,,,,,,,,
43403,2018,42,Bimbo,1,330.0,0,0.0,,,,,,,,,
43361,2018,47,Ouham-Pendé,528,364.0,2,,,,,,,,,,
43427,2018,40,Kaga-Bandoro,328,28.0,28,,,,,,,,,,
43367,2018,41,Ouham-Pendé,80,207.0,4,,,,,,,,,,
06/12/2018,2018,46,Bambio,1,0.0,0,,,,,,,,,,
43402,2018,38,Ouham-Pendé,218,796.0,13,,,,,,,,,,
43371,2018,38,Kémo,455,224.0,0,,,,,,,,,,
43409,2018,50,Bangui,1404,1892.0,8,,,,,,,,,,
43341,2018,37,Ouham-Pendé,381,72.0,59,,,,,,,,,,
43397,2018,46,Mobaye,52,455.0,8,,,,,,,,,,
16/12/2018,2018,49,Bambio,115,36.0,40,,0.0,,,,,,,,
43422,2018,50,Kaga-Bandoro,9,124.0,0,,,,,,,,,,
43384,2018,39,Zémio,243,397.0,2,,,,,,,,,,
14/12/2018,2018,48,Mbomou,882,94.0,66,,,,,,,,,,
16/12/2018,2018,40,Bambio,4,183.0,167,,,,,,,,,,
43410,2018,46,Mbomou,4100,328.0,2,,,0.0,,,,,,,
43384,2018,33,Kaga-Bandoro,713,58.0,59,,,,,,,,,,
43383,2018,50,Mbomou,169,155.0,0,,,,,,,,,,
43374,2018,47,Zémio,37,381.0,8,,,,,,,,,,
43430,2018,39,Bambio,1404,41.0,0,,0.0,,,,,,,,
43391,2018,50,Mambéré-Kadéï,166,89.0,35,,,,,,,,,,
43366,2018,43,Zémio,67,4227.0,35,,,,,,,,,,
43372,2018,44,Kémo,163,507.0,2,,0.0,,,,,,,,
43372,2018,46,Zémio,2319,45.0,0,,,,,,,,,,
43383,2018,42,Gamboula,289,455.0,0,,,,,,,,,,
43334,2018,44,Kaga-Bandoro,540,43.0,4,,,,,,,,,,
43416,2018,46,Mambéré-Kadéï,243,0.0,4,,0.0,,,,,,,,
43416,2018,32,Mbomou,194,188.0,8,,,,,,,,,,
43431,2018,46,Kaga-Bandoro,57,124.0,0,,,,,,,,,,
43348,2018,46,Kaga-Bandoro,1984,675.0,0,,,130.0,,,,,,,
43354,2018,34,Baboua,52,72.0,12,,0.0,,,,,,,,
43368,2018,43,Carnot,147,148.0,0,,,,,,,,,,
43388,2018,47,Mobaye,37,258.0,188,,,33.0,,,,,,,
43388,2018,46,Kaga-Bandoro,528,384.0,58,,,,,,,,,,
43378,2018,48,Amada-Gaza,62,3687.0,48,,,,,,,,,,
43365,2018,40,Bambio,352,3936.0,64,,,,,,,,,,
11/12/2018,2018,50,Ouham-Pendé,846,163.0,10,,,,,,,,,,
43360,2018,49,Kémo,894,844.0,39,,,,,,,,,,
43400,2018,40,Bambio,141,53.0,20,,,,,,,,,,
43395,2018,34,Paoua,170,124.0,0,,,0.0,,,,,,,
43361,2018,47,Bambio,1,99.0,1,,,,,,,,,,
43384,2018,46,Gamboula,117,1166.0,1,,,,,,,,,,
43421,2018,40,Zémio,81,1724.0,22,157.0,,0.0,,,,,,,
43398,2018,35,Kémo,161,504.0,150,0.0,,,,,,,,,
43379,2018,50,Kémo,44,112.0,2,,,,,,,,,,
43357,2018,47,Mobaye,314,1250.0,14,44.0,,,,,,,,,
43381,2018,41,Bimbo,1205,83.0,0,,0.0,,,,,,,,
43374,2018,45,Carnot,309,1754.0,11,7.0,,,,,,,,,
43385,2018,48,Kaga-Bandoro,65,112.0,6,,,,,,,,,,
43417,2018,37,Mbomou,42,317.0,1,0.0,,,,,,,,,
10/12/2018,2018,49,Ouham-Pendé,423,168.0,0,,,,,,,,,,
43318,2018,46,Gamboula,119,96.0,4,,,,,,,,,,
43362,2018,45,Mambéré-Kadéï,97,163.0,0,,,,,,,,,,
43328,2018,42,Paoua,123,504.0,15,,0.0,,,,,,,,
43321,2018,50,Ouham-Pendé,73,325.0,0,,,,,,,,,,
43334,2018,36,Ouham-Pendé,93,150.0,27,,,,,,,,,,
43364,2018,46,Ouham-Pendé,163,46.0,1,,,,,,,,,,
43330,2018,47,Gamboula,46,107.0,25,,,,,,,,,,
43326,2018,43,Gamboula,37,81.0,0,0.0,,0.0,,,,,,,
43380,2018,40,Mbomou,256,381.0,0,0.0,,,,,,,,,
08/12/2018,2018,45,Gamboula,790,53.0,2,,,,,,,,,,
43405,2018,45,Ouham-Pendé,863,288.0,0,,,,,,,,,,
43378,2018,48,Kaga-Bandoro,2978,112.0,0,,,,,,,,,,
43330,2018,48,Carnot,81,1.0,39,0.0,,0.0,,,,,,,
43322,2018,38,Bambio,114,160.0,0,,,0.0,,,,,,,
43334,2018,50,Bambio,1154,62.0,11,0.0,0.0,,,,,,,,
43383,2018,48,Carnot,49,455.0,0,,,0.0,,,,,,,
43422,2018,49,Zémio,111,54.0,2,,,,,,,,,,
43321,2018,37,Kémo,1,213.0,0,,,,,,,,,,
43412,2018,48,Gamboula,644,147.0,88,,0.0,,,,,,,,
43344,2018,46,Carnot,123,79.0,0,,,,,,,,,,
43391,2018,41,Bangui,283,68.0,1,,,,,,,,,,
43394,2018,35,Gamboula,407,92.0,0,,,,,,,,,,
08/12/2018,2018,48,Mbomou,953,52.0,13,0.0,0.0,203.0,,,,,,,
43327,2018,43,Kémo,4,298.0,0,,,,,,,,,,
43375,2018,39,Mbomou,277,621.0,0,,3.0,,,,,,,,
43353,2018,40,Ouham-Pendé,726,4236.0,48,,,0.0,,,,,,,
10/12/2018,2018,47,Bambio,864,304.0,20,,,,,,,,,,
43413,2018,33,Carnot,1,71.0,0,,,,,,,,,,
43409,2018,37,Mobaye,81,49.0,1,,,,,,,,,,
43353,2018,40,Mbomou,212,243.0,0,,,,,,,,,,
10/12/2018,2018,43,Carnot,289,291.0,125,,,,,,,,,,
43429,2018,43,Bimbo,423,279.0,96,,,,,,,,,,
43426,2018,37,Bambio,25,421.0,0,,,,,,,,,,
43351,2018,44,Gamboula,353,448.0,28,,,,,,,,,,
10/12/2018,2018,34,Gamboula,46,565.0,2,,,,,,,,,,
43401,2018,45,Gamboula,2243,217.0,1,,,0.0,,,,,,,
16/12/2018,2018,34,Kaga-Bandoro,1,45.0,177,,,,,,,,,,
08/12/2018,2018,44,Bangui,170,4.0,9,,,,,,,,,,
43362,2018,49,Mbomou,326,160.0,6,,,,,,,,,,
43403,2018,43,Mobaye,264,60.0,148,,,,,,,,,,
43333,2018,45,Mobaye,406,2026.0,3,,,,,,,,,,
43391,2018,46,Mobaye,38,163.0,32,,,,,,,,,,
43395,2018,44,Kaga-Bandoro,473,57.0,1,0.0,0.0,,,,,,,,
43412,2018,40,Gamboula,340,391.0,6,,,,,,,,,,
15/12/2018,2018,47,Paoua,674,0.0,0,,,,,,,,,,
43427,2018,43,Bambio,596,488.0,40,,,0.0,,,,,,,
43405,2018,42,Mambéré-Kadéï,421,7.0,3,,,,,,,,,,
43422,2018,43,Bambio,99,192.0,11,0.0,1.0,,,,,,,,
43411,2018,38,Kaga-Bandoro,179,112.0,0,,,,,,,,,,
43383,2018,45,Bambio,57,123.0,18,,0.0,0.0,,,,,,,
11/12/2018,2018,48,Mobaye,46,296.0,2,,,45.0,,,,,,,
29/11/2018,2018,45,Mobaye,4,213.0,0,,0.0,,,,,,,,
43364,2018,39,Mambéré-Kadéï,400,50.0,193,,,,,,,,,,
43391,2018,37,Zémio,387,52.0,21,,,,,,,,,,
43394,2018,42,Gamboula,124,130.0,0,,,,,,,,,,
43367,2018,49,Bangui,1,2304.0,34,,1.0,,,,,,,,
43362,2018,38,Mbomou,864,120.0,0,,,136.0,,,,,,,
43429,2018,37,Mbomou,518,163.0,54,,,,,,,,,,
43349,2018,42,Bangui,1207,109.0,36,7.0,,,,,,,,,
43403,2018,48,Bangui,524,4.0,17,0.0,,,,,,,,,
43327,2018,45,Mobaye,46,455.0,329,,,,,,,,,,
43398,2018,42,Gamboula,80,483.0,7,,,,,,,,,,
43331,2018,41,Mbomou,37,161.0,11,,,,,,,,,,
09/12/2018,2018,49,Kaga-Bandoro,453,367.0,0,,,,,,,,,,
43335,2018,48,Mbomou,292,783.0,6,,,0.0,,,,,,,
43421,2018,45,Mambéré-Kadéï,125,860.0,0,,,0.0,,,,,,,
43397,2018,47,Zémio,46,163.0,-43,,,,,,,,,,
43340,2018,49,Amada-Gaza,482,159.0,0,,,,,,,,,,
43339,2018,43,Bambio,46,67.0,30,,,,,,,,,,
43375,2018,44,Baboua,420,49.0,2,,0.0,67.0,,,,,,,
11/12/2018,2018,35,Gamboula,826,112.0,7,,,,,,,,,,
43323,2018,38,Ouham-Pendé,374,157.0,0,,,,,,,,,,
43369,2018,46,Ouham-Pendé,107,1248.0,1,,,,,,,,,,
43371,2018,40,Mobaye,837,1.0,16,,,,,,,,,,
43383,2018,43,Mobaye,163,150.0,2,,0.0,0.0,,,,,,,
43361,2018,49,Mbomou,922,349.0,14,,2.0,,,,,,,,
43339,2018,39,Ouham-Pendé,447,71.0,3,,,,,,,,,,
07/12/2018,2018,45,Mobaye,80,156.0,0,,,,,,,,,,
43322,2018,45,Mobaye,103,266.0,30,,,,,,,,,,
43336,2018,46,Bangui,26,162.0,8,60.0,,,,,,,,,
43351,2018,38,Kaga-Bandoro,314,71.0,1,,0.0,,,,,,,,
43339,2018,35,Carnot,308,53.0,2,,,,,,,,,,
02/12/2018,2018,46,Gamboula,37,120.0,0,0.0,,,,,,,,,
43429,2018,46,Bambio,84,123.0,4,,,,,,,,,,
43407,2018,43,Mbomou,894,330.0,3,,,,,,,,,,
43420,2018,43,Paoua,71,67.0,0,,,,,,,,,,
02/12/2018,2018,49,Mobaye,2340,1046.0,0,,,,,,,,,,
43405,2018,43,Ouham-Pendé,57,146.0,17,,,,,,,,,,
43402,2018,38,Gamboula,195,539.0,6,,,1.0,,,,,,,
43330,2018,38,Ouham-Pendé,84,488.0,0,,,,,,,,,,
43418,2018,37,Bimbo,44,50.0,1,,,,,,,,,,
43382,2018,50,Ouham-Pendé,322,783.0,45,0.0,,,,,,,,,
43351,2018,46,Zémio,307,792.0,1,60.0,0.0,,,,,,,,
43357,2018,50,Zémio,307,197.0,0,,,,,,,,,,
43374,2018,50,Kaga-Bandoro,3735,1651.0,0,,,,,,,,,,
43348,2018,42,Carnot,346,313.0,71,,,,,,,,,,
01/12/2018,2018,36,Bambio,131,322.0,1,,,,,,,,,,
43358,2018,46,Kémo,459,2006.0,0,0.0,,,,,,,,,
43350,2018,39,Zémio,44,453.0,53,,,,,,,,,,
06/12/2018,2018,36,Mobaye,141,1250.0,1,,,,,,,,,,
43403,2018,41,Ouham-Pendé,4420,124.0,0,,4.0,,,,,,,,
43340,2018,43,Ouham-Pendé,170,2300.0,0,52.0,,,,,,,,,
43374,2018,48,Kaga-Bandoro,2035,863.0,11,,,,,,,,,,
43330,2018,43,Mambéré-Kadéï,141,47.0,3,,0.0,0.0,,,,,,,
29/11/2018,2018,42,Mobaye,0,150.0,326,,,,,,,,,,
43336,2018,37,Zémio,65,166.0,0,,,,,,,,,,
43396,2018,47,Mbomou,379,146.0,0,,0.0,,,,,,,,
43380,2018,47,Zémio,1466,455.0,0,,,,,,,,,,
43346,2018,43,Mbomou,7,171.0,7,,,,,,,,,,
43383,2018,35,Zémio,276,29.0,8,,,,,,,,,,
43328,2018,43,Bambio,882,459.0,6,,,,,,,,,,
43397,2018,50,Gamboula,276,48.0,0,,,,,,,,,,
08/12/2018,2018,38,Gamboula,644,748.0,1,,,,,,,,,,
43328,2018,38,Kaga-Bandoro,1418,450.0,0,0.0,,,,,,,,,
43375,2018,41,Mambéré-Kadéï,438,85.0,0,,,,,,,,,,
43318,2018,34,Mobaye,1984,287.0,58,,,0.0,,,,,,,
43413,2018,49,Kaga-Bandoro,84,71.0,0,,,0.0,,,,,,,
43341,2018,41,Mbomou,2429,1046.0,244,4.0,0.0,,,,,,,,
43413,2018,50,Mbomou,83,469.0,3,,0.0,,,,,,,,
43407,2018,50,Paoua,2159,65.0,0,,,,,,,,,,
43347,2018,49,Zémio,147,81.0,0,,,,,,,,,,
43412,2018,32,Mbomou,99,171.0,0,0.0,0.0,0.0,,,,,,,
43394,2018,39,Zémio,166,275.0,91,,2.0,,,,,,,,
43361,2018,42,Mambéré-Kadéï,3667,755.0,9,,,,,,,,,,
43326,2018,42,Bambio,381,79.0,89,,,,,,,,,,
15/12/2018,2018,43,Bambio,357,621.0,0,,,,,,,,,,
43401,2018,44,Ouham-Pendé,283,171.0,50,,,,,,,,,,
43417,2018,46,Zémio,97,841.0,0,,,,,,,,,,
43323,2018,46,Ouham-Pendé,290,614.0,95,,,,,,,,,,
43343,2018,44,Mobaye,177,36.0,2,,,,,,,,,,
14/12/2018,2018,49,Bambio,44,396.0,36,,0.0,,,,,,,,
43415,2018,35,Mambéré-Kadéï,200,820.0,27,,,,,,,,,,
43422,2018,39,Bangui,52,842.0,0,,,,,,,,,,
43350,2018,50,Kaga-Bandoro,52,60.0,25,,,,,,,,,,
43372,2018,32,Paoua,163,63.0,3,,,,,,,,,,
43327,2018,47,Bambio,447,431.0,0,,,,,,,,,,
43413,2018,50,Gamboula,860,141.0,0,,,,,,,,,,
43333,2018,47,Mobaye,342,1651.0,4,,,,,,,,,,
16/12/2018,2018,44,Mbomou,646,1928.0,264,,0.0,,,,,,,,
43340,2018,47,Bimbo,147,137.0,7,,,,,,,,,,
43318,2018,36,Mobaye,176,117.0,0,,,,,,,,,,
02/12/2018,2018,36,Mobaye,1305,288.0,22,,,1.0,,,,,,,
43395,2018,50,Paoua,67,584.0,3,,,,,,,,,,
