ZdS,date,sem_epi,zone_sante,aire_sante,report_viv,report_dc,nlle_viv,nlle_deces,investig_viv,investig_dc,investig_en cours_viv,investig_en cours_dc,non investig_viv,non investig_dc,valid_viv,valid_dc,acheminee_CTE,acheminee_FOSA,acheminee_en_cours,acheminee_refus,AchemineesCTE=vivants valides,total_prelev,ATTENTE_prele,REFUS_prelev,prelev=vivant valide,EDS,swabbe,REFUS_EDS,REFUS_swab,EDS=deces valides,Swab=deces valides,PoE,FOSA,Comm,recu_contact,CTE,Sources=alertes,connu_vivant,connu_deces,nouvelle_totale,total_alerte_viv,total_alerte_deces,total_alerte,total_investigues,valid_tot,%prelev,%invest,%valid
LILANGA-BOBANGI,30/07/2020,31,Zémio,Nola,0.0,0.0,10.0,2.0,0.0,0.0,15,1,,,2.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,4.0,Erreur,OK,0.0,2.0,16.0,,0.0,OK,,,109,58,0,190,24,42,,,0.357142857
BIKORO,19/09/2020,31,Ombella-M'Poko,Nola,0.0,,0.0,0.0,39.0,0.0,15,O,,,0.0,0.0,2.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,4.0,,,0.0,Erreur,,,3,0,2,7,54,1,0.0,1.0,0.398230088
BIKORO,19/09/2020,36,Ouham,Nola,0.0,0.0,18.0,1.0,114.0,2.0,20,O,,,54.0,0.0,0.0,,0.0,,Erreur,,,,Erreur,,,,,Erreur,OK,0.0,,,,,Erreur,,,2,40,0,106,0,0,0.0,0.902255639,
NTONDO,17/08/2020,25,Bozoum,Nola,27.0,0.0,83.0,0.0,43.0,0.0,11,1,,,24.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,,12.0,,,Erreur,,,1,0,4,18,41,0,,0.936619718,
LOLANGA-MAMPOKO,03/07/2020,24,Zémio,Nola,0.0,0.0,76.0,0.0,85.0,0.0,10,1,,,19.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,,0.0,24.0,,0.0,OK,,,6,1,0,232,127,24,0.0,,0.087719298
BOMONGO,29/07/2020,34,Basse-Kotto,Nola,0.0,1.0,21.0,0.0,,0.0,,O,,,10.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,,,,,Erreur,,,29,88,1,42,0,3,,0.533333333,0.333333333
MAKANZA,01/09/2020,34,Mbaiki,Nola,0.0,0.0,125.0,4.0,49.0,0.0,3,,,,20.0,1.0,,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,1.0,43.0,8.0,,,Erreur,,,8,18,0,44,0,7,0.0,0.935251799,0.0
IBOKO,25/07/2020,37,Ombella-M'Poko,Nola,,0.0,68.0,0.0,,0.0,1,0,,,15.0,3.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,,61.0,,,0.0,Erreur,,,27,0,0,6,39,10,0.0,1.0,1.0
BIKORO,31/08/2020,36,Ouham,Nola,13.0,0.0,0.0,1.0,63.0,0.0,26,1,,,5.0,1.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,12.0,,,0.0,OK,,,190,50,1,77,105,9,0.0,,0.066666667
,30/08/2020,24,Mbaiki,Nola,0.0,0.0,74.0,0.0,59.0,0.0,1,,,,2.0,0.0,0.0,,0.0,0.0,Erreur,,,0.0,Erreur,,,,,Erreur,OK,,2.0,0.0,,,Erreur,,,1,105,0,77,14,0,,0.838461538,0.291666667
BIKORO,15/06/2020,25,Zémio,Nola,0.0,0.0,10.0,0.0,0.0,0.0,26,,,,7.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,,62.0,0.0,,0.0,Erreur,,,9,1,3,35,0,1,0.5,1.0,
IREBU,09/06/2020,31,Baoro,Nola,0.0,0.0,76.0,0.0,82.0,1.0,3,,,,105.0,3.0,3.0,,0.0,,Erreur,,,,OK,,,,,OK,OK,0.0,,,,,OK,,,59,105,0,91,114,0,0.0,0.741935484,
MBANDAKA,07/09/2020,36,Bozoum,Nola,0.0,0.0,79.0,0.0,1.0,5.0,48,,,,12.0,0.0,1.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,,14.0,,0.0,Erreur,,,11,40,4,82,92,0,0.0,1.0,
BIKORO,03/07/2020,25,Ouham,Nola,0.0,0.0,3.0,1.0,11.0,3.0,,O,,,42.0,0.0,11.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,3.0,,,,,OK,,,74,0,0,6,44,0,0.0,,0.409090909
,08/08/2020,33,Baoro,Nola,0.0,0.0,14.0,0.0,44.0,0.0,11,O,,,18.0,0.0,0.0,,,,Erreur,,,,OK,,,,,OK,OK,,,0.0,,,Erreur,,,113,0,0,133,52,25,,0.0,
LOLANGA-MAMPOKO,26/08/2020,28,Zémio,Nola,0.0,0.0,24.0,0.0,10.0,1.0,14,1,,,5.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,1.0,,,Erreur,OK,,,0.0,,,OK,,,76,3,1,35,10,0,0.0,0.367346939,0.234234234
IBOKO,07/09/2020,26,Ndélé,Nola,0.0,0.0,41.0,1.0,84.0,0.0,15,2,,,1.0,,6.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,0.0,54.0,,,Erreur,,,21,10,0,0,40,15,0.0,,
IREBU,03/07/2020,30,Baoro,Nola,10.0,0.0,123.0,,7.0,0.0,18,1,,,16.0,0.0,5.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,1.0,0.0,1.0,,0.0,OK,,,50,10,0,109,6,18,,0.303797468,0.418181818
LOLANGA-MAMPOKO,16/06/2020,39,Ndélé,Nola,0.0,0.0,,1.0,1.0,0.0,2,2,,,25.0,3.0,4.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,,0.0,,0.0,Erreur,,,65,32,1,116,0,23,,,
BOLENGE,11/06/2020,26,Bozoum,Nola,0.0,0.0,47.0,0.0,10.0,0.0,,,,,2.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,85.0,0.0,,,Erreur,,,96,5,0,2,29,7,0.0,0.0,0.238095238
LOTUMBE,12/09/2020,26,Ouham,Nola,0.0,0.0,55.0,0.0,9.0,3.0,48,0,,,4.0,0.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,,Erreur,,,71,9,0,109,22,2,0.0,,0.137931034
LUKOLELA,08/09/2020,31,Ouham,Nola,0.0,0.0,83.0,0.0,44.0,0.0,10,,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,,50.0,,,,Erreur,,,74,81,0,107,71,9,0.0,0.916666667,1.0
LILANGA-BOBANGI,07/09/2020,36,Berberati,Nola,0.0,0.0,29.0,2.0,0.0,0.0,3,O,,,0.0,1.0,0.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,,10.0,53.0,,0.0,Erreur,,,37,3,0,127,26,51,0.0,0.5,0.088607595
BOMONGO,03/08/2020,38,Basse-Kotto,Nola,0.0,0.0,133.0,,110.0,0.0,48,1,,,34.0,0.0,,,0.0,,Erreur,,,,OK,,,,,OK,OK,,41.0,0.0,,0.0,Erreur,,,0,105,2,129,85,0,,,1.0
BOLENGE,06/07/2020,33,Berberati,Nola,0.0,0.0,7.0,0.0,,0.0,17,,,,4.0,3.0,0.0,,,0.0,OK,,,,OK,,,,,OK,OK,,0.0,0.0,,0.0,Erreur,,,179,2,0,11,94,6,0.0,,0.333333333
LUKOLELA,04/08/2020,27,Basse-Kotto,Nola,0.0,,41.0,0.0,40.0,0.0,14,2,,,3.0,0.0,4.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,,78.0,0.0,,Erreur,,,36,7,0,28,64,0,0.0,,0.571428571
BOMONGO,29/07/2020,30,Bozoum,Nola,2.0,0.0,9.0,0.0,160.0,1.0,6,0,,,13.0,1.0,0.0,,0.0,0.0,Erreur,,,0.0,Erreur,,,,,Erreur,Erreur,0.0,,,,0.0,OK,,,74,1,2,0,0,0,0.0,1.0,
MONIEKA,18/09/2020,33,Mbaiki,Nola,0.0,0.0,113.0,0.0,55.0,0.0,11,O,,,0.0,2.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,,5.0,0.0,,0.0,Erreur,,,41,39,0,8,30,21,0.0,0.909090909,0.269230769
LUKOLELA,07/08/2020,33,Ombella-M'Poko,Nola,4.0,0.0,0.0,0.0,0.0,1.0,1,,,,5.0,1.0,3.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,,0.0,0.0,,0.0,Erreur,,,123,0,2,106,0,46,0.0,,0.52173913
DJOMBO,23/08/2020,25,Bozoum,Nola,0.0,0.0,26.0,0.0,9.0,2.0,3,1,,,2.0,1.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,Erreur,0.0,0.0,0.0,,0.0,Erreur,,,34,0,1,25,0,37,0.0,,0.032258065
,19/07/2020,37,Ouham,Nola,6.0,,24.0,1.0,37.0,0.0,8,1,,,3.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,29.0,,,0.0,OK,,,41,76,0,132,133,9,0.0,1.0,0.169811321
IBOKO,04/08/2020,33,Ouham,Nola,499.0,0.0,0.0,0.0,0.0,,,1,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,0.0,,,Erreur,,,29,0,0,0,45,9,,0.680555556,0.211864407
INGENDE,07/06/2020,34,Mbaiki,Nola,43.0,0.0,90.0,0.0,106.0,1.0,1,2,,,16.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,43.0,,,0.0,Erreur,,,0,0,2,60,0,11,0.0,0.888888889,
MONIEKA,06/09/2020,35,Mbaiki,Nola,0.0,0.0,48.0,0.0,44.0,0.0,2,O,,,17.0,1.0,,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,0.0,2.0,,,0.0,OK,,,16,52,1,123,0,13,0.0,0.851351351,0.512987013
BOLOMBA,12/09/2020,27,Baoro,Nola,0.0,0.0,64.0,1.0,0.0,0.0,26,,,,0.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,1.0,,,OK,OK,0.0,42.0,0.0,,0.0,OK,,,90,44,0,13,117,25,0.0,0.351648352,
LOLANGA-MAMPOKO,29/06/2020,38,Bozoum,Nola,5.0,0.0,35.0,5.0,12.0,,0,1,,,88.0,0.0,0.0,,0.0,,Erreur,0.0,,,OK,,,,,Erreur,OK,0.0,,1.0,,,Erreur,,,84,0,3,109,9,19,0.0,0.371681416,0.171875
LOLANGA-MAMPOKO,24/07/2020,23,Zémio,Nola,0.0,0.0,61.0,0.0,49.0,0.0,6,,,,6.0,0.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,,Erreur,,,2,0,1,0,0,1,0.0,,0.197530864
BOLOMBA,28/08/2020,34,Mbaiki,Nola,0.0,0.0,,0.0,10.0,,1,0,,,1.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,36.0,1.0,,,OK,,,59,102,0,129,29,5,0.0,1.0,0.265895954
LOLANGA-MAMPOKO,13/09/2020,37,Basse-Kotto,Nola,0.0,,176.0,0.0,73.0,2.0,1,2,,,5.0,0.0,0.0,,0.0,0.0,Erreur,4.0,,,OK,,,,,Erreur,OK,,,,,0.0,Erreur,,,87,0,2,5,148,0,,0.857142857,
MONIEKA,12/08/2020,28,Ouham,Nola,0.0,0.0,3.0,0.0,,0.0,24,2,,,30.0,0.0,0.0,,0.0,0.0,Erreur,,,0.0,OK,,,,,OK,Erreur,,,16.0,,,Erreur,,,0,48,2,9,46,7,0.0,,1.0
MONIEKA,27/08/2020,27,Bozoum,Nola,0.0,0.0,18.0,0.0,0.0,1.0,1,,,,11.0,,,,0.0,0.0,Erreur,21.0,,,OK,,,,,Erreur,OK,0.0,,11.0,,,Erreur,,,57,105,0,120,23,1,,0.905982906,0.120481928
LOLANGA-MAMPOKO,13/07/2020,38,Bozoum,Nola,0.0,0.0,0.0,0.0,9.0,1.0,24,,,,7.0,2.0,0.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,,,1.0,0.0,0.0,Erreur,,,36,44,0,88,18,0,,0.604651163,1.0
LOLANGA-MAMPOKO,09/09/2020,29,Ombella-M'Poko,Nola,0.0,0.0,8.0,0.0,0.0,0.0,8,,,,6.0,1.0,5.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,,69.0,40.0,,0.0,Erreur,,,132,10,3,6,79,3,0.0,1.0,0.107142857
MAKANZA,21/07/2020,30,Zémio,Nola,,0.0,44.0,0.0,1.0,1.0,,0,,,3.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,,8.0,,,,Erreur,,,11,175,2,30,137,24,,1.0,0.341463415
BOLOMBA,14/06/2020,37,Basse-Kotto,Nola,0.0,0.0,32.0,0.0,,3.0,9,,,,14.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,113.0,,,0.0,Erreur,,,7,262,0,0,2,10,0.0,1.0,
LILANGA-BOBANGI,22/06/2020,32,Ouham,Nola,0.0,0.0,3.0,2.0,0.0,0.0,10,,,,27.0,0.0,7.0,,0.0,,Erreur,,,,OK,,,,,OK,OK,,0.0,,,,Erreur,,,126,0,0,45,0,15,,0.945454545,0.409090909
DJOMBO,24/06/2020,29,Ouham,Nola,0.0,0.0,0.0,1.0,26.0,1.0,11,2,,,12.0,0.0,0.0,,0.0,0.0,OK,,,,Erreur,,,,,Erreur,Erreur,0.0,,4.0,,0.0,OK,,,134,4,2,55,23,0,,0.902255639,0.14
LOTUMBE,04/09/2020,31,Ouham,Nola,1.0,0.0,0.0,0.0,74.0,0.0,2,,,,30.0,0.0,0.0,,0.0,0.0,Erreur,6.0,,,OK,,,,,OK,Erreur,,,0.0,,,OK,,,59,0,2,96,31,37,0.0,1.0,0.080291971
MAKANZA,05/06/2020,36,Ouham,Nola,0.0,0.0,27.0,1.0,16.0,2.0,28,,,,2.0,0.0,2.0,,0.0,0.0,Erreur,2.0,,,OK,,,,,Erreur,Erreur,,,,,,OK,,,11,2,0,72,2,2,0.6,,0.888888889
BOLENGE,24/08/2020,25,Bozoum,Nola,0.0,0.0,138.0,0.0,57.0,6.0,9,2,,,7.0,0.0,6.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,Erreur,0.0,39.0,,,,OK,,,79,178,0,3,0,16,0.0,0.741935484,
BOMONGO,03/07/2020,34,Ouham,Nola,0.0,0.0,115.0,3.0,38.0,6.0,2,O,,,,0.0,,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,5.0,,,,OK,,,39,2,0,47,85,17,0.0,,0.0
LILANGA-BOBANGI,26/08/2020,32,Bozoum,Nola,33.0,0.0,0.0,0.0,109.0,1.0,3,1,,,27.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,67.0,,,,Erreur,,,0,105,1,0,0,42,,0.8,0.121212121
BOLENGE,05/08/2020,28,Ouham,Nola,0.0,0.0,60.0,3.0,55.0,0.0,13,O,,,0.0,1.0,6.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,2.0,0.0,,,,Erreur,,,72,0,0,0,103,11,0.0,,0.296875
INGENDE,22/08/2020,37,Mbaiki,Nola,0.0,0.0,0.0,2.0,35.0,0.0,14,1,,,9.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,3.0,,,0.0,Erreur,,,48,0,0,0,30,0,,0.6,0.296296296
BIKORO,03/08/2020,33,Berberati,Nola,0.0,0.0,0.0,0.0,,1.0,9,1,,,18.0,0.0,6.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,7.0,0.0,,,Erreur,,,35,90,2,0,54,1,,,0.307692308
IREBU,07/09/2020,36,Baoro,Nola,0.0,0.0,3.0,0.0,1.0,0.0,0,O,,,14.0,1.0,1.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,,10.0,14.0,,0.0,Erreur,,,124,62,0,9,107,58,0.0,1.0,0.75
BIKORO,01/09/2020,28,Bozoum,Nola,50.0,0.0,59.0,0.0,129.0,2.0,1,1,,,13.0,1.0,0.0,,0.0,0.0,OK,,,,Erreur,,,,,OK,Erreur,,75.0,0.0,,,OK,,,96,45,0,34,26,0,0.0,0.740740741,0.445945946
IREBU,21/09/2020,38,Ombella-M'Poko,Nola,0.0,0.0,19.0,,20.0,2.0,11,0,,,0.0,,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,20.0,,,,Erreur,,,0,40,0,45,113,0,,1.0,0.32
IBOKO,06/09/2020,29,Berberati,Nola,1.0,0.0,5.0,0.0,0.0,2.0,6,O,,,20.0,0.0,0.0,,0.0,,Erreur,,,,OK,,,,,OK,Erreur,,,2.0,,0.0,OK,,,0,12,0,11,1,6,0.0,0.805555556,0.666666667
LOTUMBE,15/07/2020,27,Ouham,Nola,16.0,0.0,85.0,0.0,56.0,0.0,17,,,,40.0,0.0,1.0,,9.0,,Erreur,,,,OK,,,,,Erreur,OK,,,,,,Erreur,,,115,2,0,11,0,1,0.0,0.976744186,
BOLOMBA,25/08/2020,28,Mbaiki,Nola,0.0,0.0,2.0,,39.0,1.0,13,0,,,10.0,1.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,0.0,21.0,57.0,,0.0,Erreur,,,83,21,0,0,104,45,0.795454545,,0.133004926
LOLANGA-MAMPOKO,21/06/2020,31,Ombella-M'Poko,Nola,0.0,4.0,125.0,0.0,0.0,0.0,11,,,,2.0,1.0,0.0,,,0.0,Erreur,,,,OK,,,,,OK,Erreur,,,0.0,,,Erreur,,,62,125,1,164,107,8,,1.0,0.170454545
IREBU,25/08/2020,23,Ouham,Nola,0.0,0.0,12.0,1.0,24.0,0.0,13,O,,,46.0,1.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,,,,,0.0,OK,,,34,135,1,0,113,2,0.0,1.0,0.466666667
MONIEKA,18/06/2020,38,Ouham,Nola,6.0,0.0,2.0,0.0,70.0,0.0,,O,,,0.0,1.0,10.0,,,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,0.0,60.0,,,Erreur,,,130,0,0,37,1,1,0.0,,0.093333333
MAKANZA,29/08/2020,30,Mbaiki,Nola,0.0,0.0,45.0,1.0,20.0,1.0,24,2,,,1.0,0.0,0.0,,0.0,0.0,Erreur,3.0,,,OK,,,,,OK,Erreur,0.0,10.0,1.0,,0.0,Erreur,,,0,117,4,79,148,26,0.0,,
MONIEKA,24/06/2020,27,Basse-Kotto,Nola,0.0,0.0,0.0,2.0,49.0,0.0,11,,,,17.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,,,,,,OK,,,0,1,0,79,0,39,1.0,0.891891892,0.312
BOLENGE,07/06/2020,32,Zémio,Nola,347.0,0.0,32.0,0.0,59.0,6.0,1,1,,,10.0,0.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,1.0,,0.0,Erreur,,,35,118,0,69,77,11,,1.0,0.5
BOMONGO,10/08/2020,28,Basse-Kotto,Nola,0.0,0.0,148.0,1.0,42.0,6.0,,,,,0.0,1.0,0.0,,0.0,,Erreur,,,0.0,OK,,0.0,,,OK,OK,1.0,,0.0,0.0,,OK,,,9,73,2,0,0,7,0.0,0.636363636,0.571428571
LILANGA-BOBANGI,07/06/2020,35,Baoro,Nola,0.0,,15.0,0.0,20.0,0.0,28,1,,,10.0,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,70.0,28.0,,,Erreur,,,12,33,0,69,131,0,0.0,0.636363636,0.272727273
INGENDE,28/08/2020,26,Bozoum,Nola,0.0,0.0,7.0,,110.0,0.0,18,1,,,9.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,,,0.0,,,OK,,,0,0,0,0,0,0,0.0,1.0,0.078431373
,19/09/2020,27,Berberati,Nola,0.0,,23.0,0.0,154.0,0.0,5,1,,,2.0,0.0,1.0,,,,OK,,,,OK,,,,,Erreur,Erreur,,39.0,0.0,0.0,0.0,Erreur,,,34,94,0,170,58,0,,,0.296875
BOMONGO,09/06/2020,28,Ouham,Nola,3.0,0.0,148.0,,7.0,1.0,24,,,,40.0,1.0,0.0,,,0.0,OK,,,,OK,,,,,Erreur,OK,,2.0,54.0,,0.0,OK,,,1,82,2,77,26,0,0.0,,0.416666667
LOLANGA-MAMPOKO,12/06/2020,35,Bozoum,Nola,0.0,0.0,,1.0,12.0,,0,1,,,0.0,0.0,0.0,,1.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,39.0,2.0,,,Erreur,,,22,61,7,74,44,2,0.0,1.0,0.19047619
LOTUMBE,02/08/2020,34,Ouham,Nola,0.0,0.0,,0.0,107.0,0.0,,1,,,20.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,1.0,23.0,0.0,,,OK,,,29,13,0,170,0,0,0.0,0.5,0.0
BOLENGE,07/08/2020,34,Ombella-M'Poko,Nola,0.0,0.0,113.0,1.0,3.0,0.0,9,,,,0.0,0.0,0.0,,0.0,,OK,,,,OK,,,,,Erreur,OK,0.0,,,0.0,,Erreur,,,44,95,0,9,87,0,,0.791666667,0.75
BOMONGO,16/08/2020,38,Baoro,Nola,0.0,0.0,360.0,0.0,95.0,,15,1,,,28.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,0.0,,1.0,,,OK,,,2,13,0,0,29,15,0.333333333,0.661538462,0.227272727
LILANGA-BOBANGI,01/08/2020,31,Mbaiki,Nola,0.0,0.0,85.0,1.0,8.0,0.0,0,2,,,22.0,1.0,0.0,,3.0,0.0,Erreur,,,,OK,,,,,OK,OK,0.0,7.0,0.0,,0.0,OK,,,48,36,1,112,41,10,,1.0,0.777777778
BOLENGE,23/07/2020,26,Mbaiki,Nola,5.0,0.0,2.0,1.0,1.0,1.0,10,1,,,19.0,2.0,0.0,,0.0,3.0,OK,,,,OK,,,,,Erreur,OK,0.0,66.0,0.0,,0.0,OK,,,32,131,0,576,39,6,0.0,0.8,0.275229358
BOLENGE,13/07/2020,32,Baoro,Nola,0.0,,41.0,0.0,84.0,0.0,9,,,,7.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,0.0,0.0,,,Erreur,,,41,41,2,22,0,56,0.0,,0.52173913
MAKANZA,02/07/2020,25,Bozoum,Nola,29.0,0.0,38.0,2.0,6.0,2.0,48,1,,,13.0,0.0,4.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,OK,0.0,,0.0,,0.0,Erreur,,,103,46,0,94,84,0,0.0,,0.260869565
BOMONGO,06/07/2020,31,Ouham,Nola,16.0,,1.0,0.0,84.0,0.0,15,1,,,37.0,0.0,3.0,,0.0,,Erreur,,,,OK,,1.0,,,Erreur,OK,1.0,5.0,,,0.0,Erreur,,,9,83,0,62,108,3,0.0,1.0,0.875
IBOKO,12/08/2020,31,Bozoum,Nola,0.0,2.0,52.0,0.0,26.0,1.0,,O,,,12.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,OK,1.0,138.0,,,0.0,Erreur,,,116,2,1,44,19,2,0.6,0.742424242,0.129707113
BOLENGE,03/09/2020,34,Bozoum,Nola,0.0,0.0,185.0,0.0,27.0,0.0,8,O,,,,0.0,0.0,,0.0,,Erreur,,,,Erreur,,,,,Erreur,OK,0.0,,,,,OK,,,57,221,2,142,84,0,,1.0,1.0
BOLENGE,08/09/2020,35,Bozoum,Nola,0.0,0.0,0.0,0.0,1.0,0.0,48,,,,4.0,2.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,,,,,Erreur,,,67,12,0,0,0,13,0.0,0.927272727,
IREBU,30/08/2020,33,Berberati,Nola,0.0,0.0,53.0,1.0,45.0,2.0,0,O,,,5.0,0.0,0.0,,0.0,0.0,Erreur,1.0,,,OK,,,,,OK,Erreur,0.0,13.0,1.0,,0.0,OK,,,2,5,1,140,22,6,0.0,1.0,0.159574468
MBANDAKA,18/07/2020,37,Basse-Kotto,Nola,0.0,0.0,33.0,2.0,188.0,0.0,1,1,,,8.0,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,49.0,48.0,,,OK,,,3,0,0,74,124,0,0.0,,
MONIEKA,15/06/2020,32,Ouham,Nola,14.0,3.0,209.0,1.0,60.0,0.0,20,1,,,0.0,0.0,0.0,,0.0,0.0,OK,,,,OK,,,,,Erreur,OK,0.0,0.0,,,,Erreur,,,67,140,3,0,33,21,0.0,1.0,0.953488372
LILANGA-BOBANGI,07/07/2020,31,Mbaiki,Nola,0.0,0.0,4.0,1.0,60.0,0.0,3,1,,,45.0,0.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,Erreur,0.0,0.0,0.0,,,Erreur,,,4,1,1,18,3,0,0.0,0.517241379,0.111111111
LOTUMBE,04/06/2020,32,Ouham,Nola,1.0,0.0,0.0,0.0,3.0,0.0,0,1,,,38.0,2.0,0.0,,,0.0,Erreur,,,,OK,,,,,Erreur,Erreur,0.0,,0.0,,,OK,,,23,8,0,3,131,6,0.0,1.0,0.0
LUKOLELA,24/07/2020,36,Bozoum,Nola,5.0,0.0,77.0,2.0,1.0,0.0,8,O,,,2.0,1.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,OK,Erreur,0.0,,,,,Erreur,,,79,26,0,1,114,2,0.0,1.0,0.276190476
IBOKO,11/06/2020,31,Zémio,Nola,18.0,0.0,84.0,0.0,,0.0,14,O,,,,0.0,0.0,,0.0,0.0,Erreur,2.0,,,OK,,,,,Erreur,Erreur,,0.0,3.0,,0.0,OK,,,79,130,1,45,74,35,0.0,1.0,
LOLANGA-MAMPOKO,28/07/2020,31,Ombella-M'Poko,Nola,0.0,0.0,40.0,0.0,0.0,0.0,20,O,,,6.0,1.0,3.0,,9.0,,OK,,,,OK,,,,,OK,OK,,,33.0,,,Erreur,,,77,74,0,125,134,25,0.0,0.818181818,
LOLANGA-MAMPOKO,28/07/2020,36,Bozoum,Nola,0.0,0.0,0.0,4.0,28.0,24.0,11,0,,,,1.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,0.0,52.0,,,0.0,Erreur,,,26,80,1,63,140,13,0.777777778,0.945454545,0.327586207
BIKORO,23/08/2020,37,Berberati,Nola,1.0,0.0,0.0,0.0,106.0,2.0,3,,,,14.0,3.0,0.0,,0.0,0.0,Erreur,,,,Erreur,,,,,Erreur,OK,0.0,0.0,,,0.0,Erreur,,,102,66,0,5,78,12,,0.8,0.234234234
INGENDE,16/09/2020,30,Basse-Kotto,Nola,0.0,0.0,0.0,0.0,32.0,0.0,0,0,,,1.0,1.0,2.0,,0.0,0.0,Erreur,,,,OK,,,,,Erreur,OK,1.0,,10.0,,0.0,Erreur,,,110,19,1,167,71,7,,1.0,1.0
DJOMBO,23/08/2020,34,Mbaiki,Nola,0.0,,3.0,0.0,109.0,0.0,24,0,,,,0.0,0.0,,0.0,0.0,Erreur,,,,OK,,,,,OK,Erreur,,,18.0,,0.0,OK,,,1,48,2,38,119,16,0.0,0.824175824,1.0
